OTUname	acc	Kingdom	Supergroup	Phylum	Tax1	Tax2	Species	Id	E-val	bit	length
OTU191	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	97.52	0.0	688	403
OTU1916	AJ246277.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	98.76	0.0	715	402
OTU192	FN599060.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	97.51	0.0	686	402
OTU1924	AJ564773.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	97.23	0.0	669	397
OTU193	DQ487196.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Litostomatea	Monodinium	Monodinium_sp.	98.79	4,00E-169	586	330
OTU1933	AY665083.1	Eukaryota	Katablepharidophyta	Katablepharidaceae	Katablepharidaceae	unclassified_Katablepharidaceae	Katablepharidophyte_clone_SCM37C29	98.99	0.0	713	398
OTU194	DQ060526.1	Eukaryota	Picozoas	environmental_picozoa_clone	environmental_picozoa_clone	Uncultured_Arctic_marine_picozoa_clone	NOR46.24	100.00	0.0	743	402
OTU1944	EF526808.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_NIF_3A1	99.00	0.0	721	402
OTU195	EF173006.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.5	Guillou_II.5	94.03	3,00E-176	610	402
OTU1958	JF826353.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium_sensu_largo	Dino_clone_North_Pole_SW0_72	99.49	0.0	717	394
OTU196	FJ888597.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Podolampadaceae_Podolampas	Podolampas	99.00	0.0	721	402
OTU1965	FJ032664.1	Eukaryota	stramenopiles	MASTs	MAST_1	MAST_1c	DH18_4A29	95.57	0.0	647	406
OTU1966	DQ120005.1	Eukaryota	Choanoflagellates	Choanoflagellida	Acanthoecida	Stephanoecidae	Didymoeca_NOR46.34	95.24	0.0	632	399
OTU1967	JX262491.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_incertae_sedis	Amphidomataceae_Azadinium	Azadinium_spinosum	98.76	0.0	715	402
OTU197	GQ351701.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Litostomatea	Litonotus	Litonotus	96.35	9,00E-156	542	329
OTU198	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	89.85	7,00E-148	516	404
OTU1980	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	98.73	0.0	702	395
OTU1981	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	98.99	0.0	708	396
OTU1989	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	97.96	0.0	682	393
OTU199	AB246693.1	Eukaryota	Rhizaria	Polycystinea	Polycystinea	unclassified_Polycystinea	Taxopodida_B	90.17	3,00E-151	527	407
OTU2	X77479.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	98.26	0.0	704	403
OTU20	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	97.47	0.0	675	396
OTU200	AY143573.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Tintinnids	Tintinnopsis	Tintinnopsis	90.70	1,00E-150	525	398
OTU201	AB246693.1	Eukaryota	Rhizaria	Polycystinea	Polycystinea	Spumellaria	Larcopyle	84.78	1,00E-111	396	414
OTU2015	AY664971.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_NW414.36	Dino_clone_SCM15C21	98.76	0.0	715	402
OTU2026	EU141942.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Prasinophyceae	Pyramimonas	99.75	0.0	737	402
OTU2027	AY954993.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP1195_clade_C	98.74	0.0	706	397
OTU203	FJ032664.1	Eukaryota	stramenopiles	MASTs	MAST_1	MAST_1a	DH22_2A47	91.42	2,00E-159	555	408
OTU2030	AJ246278.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	97.51	0.0	688	402
OTU2031	X77479.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	99.25	0.0	723	401
OTU2035	Y16232.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Prorocentrales	Prorocentraceae_Prorocentrum	Prorocentrum_mexicanum	99.00	0.0	721	402
OTU2037	FN669511.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_cf.Gutrula	98.26	0.0	704	402
OTU2038	FJ888597.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Podolampadaceae_Podolampas	Podolampas	98.01	0.0	699	402
OTU2039	AY541684.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	Strombidium	96.95	0.0	662	394
OTU204	AJ246277.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	96.52	0.0	665	402
OTU2040	AB120002.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_fusiforme	93.80	1,00E-174	604	403
OTU2041	AF290083.2	Eukaryota	stramenopiles	MASTs	MAST_2	MAST_2	DH148_5_EKD52	98.52	0.0	717	406
OTU205	AF099183.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Suessiales	Suessiaceae_Polarella	Polarella	99.50	0.0	732	403
OTU2056	AM490983.2	Eukaryota	Haptophyceae[prymnesiophytes]	Syracosphaerales_Zygodiscales	Zygodiscales	Helicosphaeraceae	Helicosphaera	99.00	0.0	721	402
OTU206	EF172955.1	Eukaryota	Alveolata	MALVs	MALV_II_D_group	Guillou_8	Guillou_8	91.32	7,00E-158	549	403
OTU2065	FJ626712.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_DinoRS24	Dinophyceae_sp.SA7.9	94.03	3,00E-176	610	402
OTU2074	AY143564.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium_SNB99_2	Strombidium_SNB99_2	99.49	0.0	719	395
OTU2076	X77479.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	97.02	0.0	676	403
OTU2078	AM490984.2	Eukaryota	Haptophyceae[prymnesiophytes]	Coccosphaerales	Coccosphaerales	Pontosphaeraceae	Scyphosphaera	96.02	0.0	654	402
OTU208	EF173017.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	96.26	0.0	656	401
OTU2089	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	98.23	0.0	691	395
OTU209	EF058237.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Peridiniales_incerate_sedis_Pentapharsodinium	Glenodinium	98.01	0.0	699	402
OTU2090	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	98.73	0.0	699	393
OTU2091	AF163148.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	98.26	0.0	704	402
OTU2096	AF363196.2	Eukaryota	stramenopiles	MASTs	MAST_7	MAST_7	ANT12_10	98.98	0.0	706	394
OTU2099	AF022199.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gonyaulacales	Goniodomataceae_Alexandrium	Alexandrium_monilatum_isolate_JR07	84.90	6,00E-114	403	404
OTU21	AF274267.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Heterocapsa	Heterocapsa_rotundata	100.00	0.0	743	402
OTU210	HQ912677.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Biddulphiales	Biddulphia	91.93	3,00E-162	564	409
OTU2103	EF526808.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_NIF_3A1	99.00	0.0	721	402
OTU211	denovo6	Eukaryota	Alveolata	MALVs	MALV_IV_[Syndinales]	Syndiniales[groupIV]	Syndiniales[groupIV]	88.81	2,00E-139	488	402
OTU212	AF274254.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Amphidinium	Amphidinium_longum	94.06	3,00E-176	610	404
OTU2124	FN562450.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Mamiella	93.48	1,00E-170	592	399
OTU2125	AJ564772.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	94.50	7,00E-178	616	400
OTU213	EU793379.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	99.75	0.0	734	400
OTU2135	DQ779991.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium_sensu_largo	Gymnodinium_aureolum	99.25	0.0	726	402
OTU214	AY485489.1	Eukaryota	stramenopiles	Diatoms	Bacillariophyceae[raphid	pennate_diatoms]	Naviculales	Pleurosigma	100.00	0.0	749	405
OTU2142	EF172987.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	94.28	7,00E-178	616	402
OTU2145	AY919816	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	unclassified_Chrysophyte	Chrysophyte_Lake_Georges_clone_LG47_07	99.01	0.0	725	404
OTU215	AB183673.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Peridiniales	Protoperidiniaceae_Protoperidinium	Prorocentrum_triestinum_strain_MBIC11147	98.01	0.0	699	402
OTU216	DQ186531.1	Eukaryota	Alveolata	MALVs	MALV_II_[Amoebophrya]	Guillou_II.5	Guillou_II.5	97.27	0.0	684	403
OTU217	GQ365798.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	95.99	0.0	647	399
OTU218	EU818590.1	Eukaryota	Alveolata	MALVs	MALV_II_E_group	Guillou_22	Guillou_22	97.24	0.0	675	399
OTU2182	EF526808.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_NIF_3A1	98.26	0.0	704	403
OTU2184	FN263030.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	98.26	0.0	702	402
OTU219	FN263030.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	97.76	0.0	691	402
OTU2190	AY541684.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	Strombidium	91.00	9,00E-152	529	400
OTU2191	AB275066.1	Eukaryota	Choanoflagellates	Choanoflagellida	Crespedida	Crespedida	DSGM66	92.23	7,00E-163	566	399
OTU22	AJ786648.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Parastrombidinopsis	Parastrombidinopsis_shimi	89.53	7,00E-143	499	401
OTU220	DQ837534.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium_sensu_largo	Gymnodinium_dorsalisulcum	99.00	0.0	721	402
OTU2208	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	99.24	0.0	710	393
OTU221	AY143564.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium_SNB99_2	Strombidium_SNB99_2	99.49	0.0	719	395
OTU222	denovo6	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Uncultured_Arctic_clade	Uncultured_Arctic_clade	uncultured_Arctic_clade1	85.37	1,00E-115	409	410
OTU223	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	95.29	0.0	638	403
OTU224	AJ246267.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Imantonia	99.75	0.0	737	403
OTU2246	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	93.32	3,00E-171	593	404
OTU2247	DQ060525.1	Eukaryota	Picozoas	environmental_picozoa_clone	environmental_picozoa_clone	Uncultured_Arctic_marine_picozoa_clone	NW617.02	98.76	0.0	717	403
OTU225	FN690573.1	Eukaryota	stramenopiles	Diatoms	Bacillariophyceae[raphid	pennate_diatoms]	unclassified_Bacillariophyceae	Diatom_Baltic_Sea_Ice_clone8_90	99.75	0.0	737	402
OTU226	EF455780.1	Eukaryota	Apusozoa	Planomonas	Planomonas	Planomonas	Planomonas	89.74	3,00E-82	298	234
OTU2269	AB120002.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_fusiforme	99.00	0.0	717	400
OTU2270	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	98.99	0.0	708	395
OTU2271	JQ966994.1	Eukaryota	Cryptophyta	Cryptomonadales	Pyrenomonadales	Geminigeraceae	Teleaulax_gracilis	99.24	0.0	713	395
OTU2276	AY954993.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP1195_clade_C	98.73	0.0	702	395
OTU2277	FJ590769.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Thalassiosirales	Minidiscus	98.77	0.0	721	406
OTU228	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	95.29	0.0	638	403
OTU2284	EF140623.1	Eukaryota	stramenopiles	Diatoms	Bacillariophyceae[raphid	pennate_diatoms]	Bacillariales	Fragilariopsis	98.28	0.0	710	406
OTU2285	HQ866287.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_Saanich_SGSU510	98.76	0.0	715	402
OTU229	denovo6	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Uncultured_Arctic_clade	Uncultured_Arctic_clade	uncultured_Arctic_clade1	98.75	0.0	710	400
OTU23	DQ120005.1	Eukaryota	Choanoflagellates	Choanoflagellida	Acanthoecida	Stephanoecidae	Didymoeca_NOR46.34	95.74	0.0	643	399
OTU230	AJ786648.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Parastrombidinopsis	Parastrombidinopsis_shimi	88.72	3,00E-137	481	399
OTU231	AJ246278.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	99.00	0.0	721	402
OTU2314	AY665083.1	Eukaryota	Katablepharidophyta	Katablepharidaceae	Katablepharidaceae	unclassified_Katablepharidaceae	Katablepharidophyte_clone_SCM37C29	98.99	0.0	713	398
OTU2317	EF526808.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_NIF_3A1	96.52	0.0	664	402
OTU2323	AJ786648.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Parastrombidinopsis	Parastrombidinopsis_shimi	88.72	7,00E-138	483	399
OTU233	GQ365767.1	Eukaryota	Telonemia	Telonemida	Telonemida	Telonema	Telonema	98.50	0.0	704	399
OTU2330	AY664971.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_NW414.36	Dino_clone_SCM15C21	98.51	0.0	710	402
OTU234	AJ004866.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	99.75	0.0	739	402
OTU2342	HM066998.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_DinoRS24	Brachidinium	98.51	0.0	710	402
OTU235	EU371175.1	Eukaryota	Choanoflagellates	Choanoflagellida	Acanthoecida	Stephanoecidae	Diaphanoeca_NPK2_136	97.01	0.0	669	402
OTU2358	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	96.70	0.0	654	394
OTU236	EF173014.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	95.27	0.0	638	402
OTU2360	AJ786648.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Parastrombidinopsis	Parastrombidinopsis_shimi	88.78	7,00E-138	483	401
OTU2361	AM490984.2	Eukaryota	Haptophyceae[prymnesiophytes]	Coccosphaerales	Coccosphaerales	Pontosphaeraceae	Scyphosphaera	95.27	0.0	638	402
OTU2365	AY664971.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_NW414.36	Dino_clone_SCM15C21	98.51	0.0	710	402
OTU2366	EF172987.1	Eukaryota	Alveolata	MALVs	MALV_II_C_group	Guillou_9_11	Guillou_9_11	94.53	1,00E-179	621	402
OTU2368	FN562450.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Mamiella	92.98	2,00E-167	580	399
OTU237	AJ786648.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Strobilidium	Strobilidium_caudatum	89.78	2,00E-144	505	401
OTU2377	AB474963	Eukaryota	stramenopiles	Chrysophyceae[golden_algae]	Chrysophyceae[golden_algae]	Chrysosphaerales	Chrysosaccus	90.17	1,00E-150	525	407
OTU238	AY143564.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium_SNB99_2	Strombidium_SNB99_2	98.73	0.0	702	395
OTU2382	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	94.31	7,00E-178	616	404
OTU2384	AJ402349.1	Eukaryota	Alveolata	MALVs	MALV_III_[Syndinales]	Environ_III.O	Environ_III.O	96.77	0.0	671	402
OTU239	EU500144.1	Eukaryota	stramenopiles	Labyrinthulida	Labyrinthulida	Thraustochytriidae	Oblongichytrium_PBS03	88.73	9,00E-142	496	408
OTU2398	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	98.73	0.0	697	393
OTU2399	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	96.20	0.0	647	395
OTU24	FN562453.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Bathycoccus	100.00	0.0	730	395
OTU240	DQ314838.1	Eukaryota	Rhizaria	Polycystinea	Polycystinea	Nassellaria	Nassellaria	100.00	0.0	750	406
OTU2406	FJ590769.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Thalassiosirales	Minidiscus	96.30	0.0	665	405
OTU2408	AJ246278.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	97.26	0.0	682	402
OTU2410	HQ912569.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Cymatosirales	Arcocellulus	98.52	0.0	715	405
OTU2414	EF172798.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.7_36	Guillou_II.7_36	95.53	0.0	643	403
OTU243	AM490987.2	Eukaryota	Haptophyceae[prymnesiophytes]	Pavlovales	Pavlovales	Pavlovaceae	Pavlova	88.64	6,00E-139	486	405
OTU244	DQ393786.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Choreotrichida	Parastrombidinopsis	Parastrombidinopsis_shimi	89.50	3,00E-142	497	400
OTU2448	AB120002.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_fusiforme	98.51	0.0	710	402
OTU245	denovo6	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Uncultured_Arctic_clade	Uncultured_Arctic_clade	uncultured_Arctic_clade1	85.92	6,00E-119	420	412
OTU2452	X77479.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	96.28	0.0	660	403
OTU2453	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	96.46	0.0	652	396
OTU2455	X77479.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	97.02	0.0	676	403
OTU246	AF508759.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Halteriidae	Halteria	Halteria	96.22	0.0	649	397
OTU2465	FJ422988.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Novistrombidium	Novistrombidium	96.20	0.0	647	395
OTU2468	AY541684.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	Strombidium	97.72	0.0	678	394
OTU2469	U37367.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gymnodinium	Gymnodinium_beii	97.52	0.0	688	403
OTU2474	AB241128.1	Eukaryota	Cryptophyta	Pyrenomonadales	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	96.46	0.0	652	396
OTU248	EF526808.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_NIF_3A1	99.00	0.0	721	402
OTU2483	DQ025753.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Micromonas_CCMP2099_Arctic	98.22	0.0	688	393
OTU2484	FJ032668.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	95.77	0.0	649	402
OTU2485	FN562453.1	Eukaryota	Viridiplantae_Chlorophyta	Chlorophyta[green_algae]	Chlorophyta[green_algae]	Mamiellophyceae	Bathycoccus	98.99	0.0	708	395
OTU249	AY881968.1	Eukaryota	stramenopiles	Diatoms	Bacillariophyceae[raphid	pennate_diatoms]	Bacillariales	Nitzschia	97.01	0.0	676	402
OTU2497	EF195735.1	Eukaryota	Cryptophyta	Cryptomonadales	Pyrenomonadales	Geminigeraceae	PlagioselmisTeleaulaxComplex	Teleaulax_amphioxeia	99.49	0.0	719	396
OTU25	KP790160.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Thoracosphaerales	Oodiniaceae_Pseudopfiesteria	Pseudopfiesteria	83.13	6,00E-59	220	249
OTU250	FJ590769.1	Eukaryota	stramenopiles	Diatoms	Mediophyceae[mixed_new_class]	Thalassiosirales	Minidiscus	99.01	0.0	726	405
OTU253	EF172837.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	98.50	0.0	708	401
OTU254	AY143564.1	Eukaryota	Alveolata	Ciliophora	Intramacronucleata_Spirotrichea	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium_SNB99_2	Strombidium_SNB99_2	97.97	0.0	686	395
OTU2549	EF173017.1	Eukaryota	Alveolata	MALVs	MALV_II_B_group	Guillou_II.6	Guillou_II.6	96.26	0.0	656	401
OTU255	AF290539.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonas	97.29	0.0	686	406
OTU256	denovo6	Eukaryota	Alveolata	MALVs	MALV_IV_[Syndinales]	Syndiniales[groupIV]	Syndiniales[groupIV]	88.81	2,00E-139	488	402
OTU2563	EF526932.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cercozoa_clone_SA24H12	98.53	0.0	719	408
OTU2568	AB120002.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_fusiforme	98.76	0.0	715	402
OTU257	FN263030.1	Eukaryota	Alveolata	MALVs	MALV_I_[Duboscquellida]	unclassified_MALV_1	unclassified_MALV_1	96.52	0.0	664	402
OTU2574	X77479.1	Eukaryota	Haptophyceae[prymnesiophytes]	Phaeocystales	Phaeocystales	Phaeocystaceae	Phaeocystis	98.26	0.0	704	403
OTU258	EF526808.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	KareniaProro_group	Dino_clone_NIF_3A1	98.51	0.0	710	402
OTU2584	AB120004.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_Gymnodiniales	Gymnodiniaceae_Gyrodinium	Gyrodinium_helveticum	98.26	0.0	704	402
OTU2587	AM490987.2	Eukaryota	Haptophyceae[prymnesiophytes]	Syracosphaerales_Zygodiscales	Syracosphaerales	Syracosphaeraceae	Syracosphaera	97.26	0.0	682	402
OTU259	GU819882.1	Eukaryota	Alveolata	Dinoflagellates	Dinophyceae_GPP	Environ_group_Ar1353	Dino_clone_Ar1353d50	88.64	6,00E-139	486	405
OTU2592	FN599060.1	Eukaryota	Haptophyceae[prymnesiophytes]	Prymnesiales	Prymnesiales	Prymnesiaceae	Chrysochromulina	98.26	0.0	704	402
OTU2593	DQ314810.1	Eukaryota	Rhizaria	Cercozoa	Cercozoa	Cryomonadida	Cryothecomonad_NW617.37	98.29	0.0	719	410
